en,vi,mode,note
machine learning,machine learning,keep,giữ nguyên; có thể chú (học máy) lần đầu
deep learning,deep learning,keep,
neural network,mạng nơ-ron,vi,
training,huấn luyện,vi,
inference,suy luận,vi,
model,mô hình,vi,
dataset,tập dữ liệu,vi,
data,dữ liệu,vi,
bandwidth,băng thông,vi,
latency,độ trễ,vi,
throughput,thông lượng,vi,
accelerator,bộ tăng tốc,vi,
pipeline,pipeline,keep,
framework,framework,keep,
gradient descent,gradient descent,keep,
backpropagation,lan truyền ngược,vi,
overfitting,overfitting,keep,
hyperparameter,siêu tham số,vi,
batch,batch,keep,
batch size,kích thước batch,vi,
tensor,tensor,keep,
weight,trọng số,vi,
bias,độ chệch (bias),vi,
layer,lớp,vi,
activation,activation,keep,
loss function,hàm mất mát,vi,
optimizer,optimizer,keep,
epoch,epoch,keep,
feature,đặc trưng,vi,
label,nhãn,vi,
quantization,lượng tử hoá,vi,
pruning,tỉa (pruning),vi,
compression,nén,vi,
benchmark,benchmark,keep,
memory hierarchy,hệ thống phân cấp bộ nhớ,vi,
cache,cache,keep,
GPU,GPU,keep,
CPU,CPU,keep,
TPU,TPU,keep,
FLOPS,FLOPS,keep,
data center,trung tâm dữ liệu,vi,
edge,edge,keep,
cloud,đám mây,vi,
deployment,triển khai,vi,
serving,phục vụ (serving),vi,
scalability,khả năng mở rộng,vi,
distributed training,huấn luyện phân tán,vi,
checkpoint,checkpoint,keep,
fine-tuning,tinh chỉnh (fine-tuning),vi,
transfer learning,học chuyển giao,vi,
convolution,tích chập,vi,
embedding,embedding,keep,
token,token,keep,
runtime,runtime,keep,
workload,khối lượng công việc (workload),vi,
power,công suất,vi,
silicon,silicon,keep,
